stid,stlo,stla,azi,tko,aoi,dist (m),alpha (m/s),beta (m/s),rho (kg/m3),tau1,obs_pol,syn_pol,tau2,obs_pamp,syn_pamp,tau3,obs_spratio,syn_spratio
5B.1150,-117.219704,54.3466,74.61073994989339,154.23217891316526,14.610212287447359,3712.3261951942636,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.7586e-09,4.1214889552636675e-09,1.0,1.6462,1.4694502863741894
5B.1151,-117.2034,54.348,77.89113678142884,134.6767960294615,24.3679075222679,4208.975768473251,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.7924e-09,4.3869635930402585e-09,1.0,1.7971,1.608414544325069
5B.1152,-117.192299,54.348202,80.3582646076748,123.81385492249012,28.821744125000254,4667.695562476698,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,3.771e-09,6.314853340335942e-09,1.0,1.7168,1.48240373057733
5B.1153,-117.283897,54.3447,272.14274468860253,123.73769354126826,28.849789493039616,4671.54818860555,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.1776e-08,1.692125416592587e-08,1.0,1.0952,1.080300684679431
5B.1155,-117.273201,54.345299,274.4285861931916,134.21530287972504,24.573917562766482,4225.270099482009,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,2.3979e-08,1.625663549208166e-08,1.0,1.1079,1.083879787193302
5B.1157,-117.247398,54.348499,310.40630956824106,162.26054094811428,10.182872904386246,3598.828993873645,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,1.7738e-08,1.0872346881484624e-08,1.0,1.0257,1.0068687240799945
5B.1158,-117.24501,54.33659,210.83512726364256,160.2147578346912,11.326879116652535,3623.4237062602333,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-5.2677e-09,-8.99623408213157e-10,1.0,1.6205,1.973643826876394
5B.1159,-117.226799,54.354301,31.098248394245115,151.00778101139286,16.333832891335575,3771.290061617586,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-8.1291e-09,-4.2320984186275956e-09,1.0,1.3265,1.3004921326777523
5B.1160,-117.2099,54.3522,62.40185122441203,138.75115832050386,22.49266228061101,4075.480753605152,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-1.3738e-08,-7.2256376338145065e-09,1.0,1.1272,1.248025609140558
5B.1161,-117.200302,54.355701,61.234063779890946,126.95322992166447,27.624778102843006,4517.452784548194,5395.0,3316.8,2265.0,1.0,-1.0,-1.0,1.0,-2.0118e-08,-1.2963399147012438e-08,1.0,0.9002,0.9939987931719545
5B.1164,-117.285103,54.352001,286.72119181282795,120.87185727214944,29.86932317912431,4824.426384159153,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.4206e-08,3.6373319326420316e-08,1.0,0.696,0.7246320760426144
5B.1165,-117.265297,54.3522,297.8509608724709,139.0484201280248,22.352057331286797,4066.4367776206936,5395.0,3316.8,2265.0,1.0,1.0,1.0,1.0,4.594e-08,3.259881467952454e-08,1.0,0.6941,0.7642596801832049
